Dokumen,Term,TF,IDF,TF-IDF
rendy1.txt,lapor,1,1.6094379124341003,1.6094379124341003
rendy1.txt,ucap,4,2.0149030205422647,8.059612082169059
rendy1.txt,asisten,1,1.6094379124341003,1.6094379124341003
rendy1.txt,virtual,1,1.6094379124341003,1.6094379124341003
rendy1.txt,alexa,1,2.70805020110221,2.70805020110221
rendy1.txt,bicara,1,2.0149030205422647,2.0149030205422647
rendy1.txt,paham,5,1.3217558399823195,6.608779199911598
rendy1.txt,proses,2,0.6286086594223741,1.2572173188447482
rendy1.txt,aktif,1,1.3217558399823195,1.3217558399823195
rendy1.txt,suara,2,1.3217558399823195,2.643511679964639
rendy1.txt,hotline,1,2.70805020110221,2.70805020110221
rendy1.txt,layan,1,0.9162907318741551,0.9162907318741551
rendy1.txt,sandang,1,2.70805020110221,2.70805020110221
rendy1.txt,disabilitas,1,2.70805020110221,2.70805020110221
rendy1.txt,komunikasi,2,1.3217558399823195,2.643511679964639
rendy1.txt,multimodal,3,2.70805020110221,8.12415060330663
rendy1.txt,gabung,1,1.6094379124341003,1.6094379124341003
rendy1.txt,tipe,2,2.70805020110221,5.41610040220442
rendy1.txt,informasi,1,0.7621400520468967,0.7621400520468967
rendy1.txt,komprehensif,1,2.0149030205422647,2.0149030205422647
rendy1.txt,video,2,1.6094379124341003,3.2188758248682006
rendy1.txt,objek,1,1.6094379124341003,1.6094379124341003
rendy1.txt,baca,1,1.0986122886681098,1.0986122886681098
rendy1.txt,muncul,2,1.6094379124341003,3.2188758248682006
rendy1.txt,layar,1,2.70805020110221,2.70805020110221
rendy1.txt,canggih,1,2.0149030205422647,2.0149030205422647
rendy1.txt,bidang,3,0.9162907318741551,2.7488721956224653
rendy1.txt,kendara,1,1.3217558399823195,1.3217558399823195
rendy1.txt,otonom,2,2.0149030205422647,4.029806041084529
rendy1.txt,tafsir,1,2.70805020110221,2.70805020110221
rendy1.txt,sama,1,2.70805020110221,2.70805020110221
rendy1.txt,aman,1,0.9162907318741551,0.9162907318741551
rendy1.txt,sejarah,1,1.3217558399823195,1.3217558399823195
rendy1.txt,makalah,3,2.0149030205422647,6.0447090616267936
rendy1.txt,computing,2,2.70805020110221,5.41610040220442
rendy1.txt,machinery,2,2.70805020110221,5.41610040220442
rendy1.txt,and,2,1.3217558399823195,2.643511679964639
rendy1.txt,intelligence,3,1.3217558399823195,3.9652675199469583
rendy1.txt,alan,2,2.70805020110221,5.41610040220442
rendy1.txt,turing,4,2.70805020110221,10.83220080440884
rendy1.txt,timbang,1,2.70805020110221,2.70805020110221
rendy1.txt,mesin,3,1.3217558399823195,3.9652675199469583
rendy1.txt,pikir,1,1.0986122886681098,1.0986122886681098
rendy1.txt,kali,1,1.6094379124341003,1.6094379124341003
rendy1.txt,istilah,1,1.6094379124341003,1.6094379124341003
rendy1.txt,saji,1,1.6094379124341003,1.6094379124341003
rendy1.txt,teoretis,3,2.70805020110221,8.12415060330663
rendy1.txt,filosofis,1,2.70805020110221,2.70805020110221
rendy1.txt,upaya,2,1.3217558399823195,2.643511679964639
rendy1.txt,kolektif,1,2.0149030205422647,2.0149030205422647
rendy1.txt,ilmuwan,1,2.70805020110221,2.70805020110221
rendy1.txt,rekayasawan,1,2.70805020110221,2.70805020110221
rendy1.txt,dekade,1,2.70805020110221,2.70805020110221
rendy1.txt,warren,1,2.70805020110221,2.70805020110221
rendy1.txt,mcculloch,1,2.70805020110221,2.70805020110221
rendy1.txt,walter,1,2.70805020110221,2.70805020110221
rendy1.txt,pitts,1,2.70805020110221,2.70805020110221
rendy1.txt,usul,1,2.70805020110221,2.70805020110221
rendy1.txt,model,3,1.6094379124341003,4.828313737302301
rendy1.txt,neuron,1,2.70805020110221,2.70805020110221
rendy1.txt,letak,1,2.0149030205422647,2.0149030205422647
rendy1.txt,jaring,8,2.0149030205422647,16.119224164338117
rendy1.txt,neural,8,2.70805020110221,21.66440160881768
rendy1.txt,inti,1,2.70805020110221,2.70805020110221
rendy1.txt,terbit,3,1.6094379124341003,4.828313737302301
rendy1.txt,tes,1,2.0149030205422647,2.0149030205422647
rendy1.txt,nilai,1,0.9162907318741551,0.9162907318741551
rendy1.txt,dorong,1,1.0986122886681098,1.0986122886681098
rendy1.txt,mahasiswa,1,2.70805020110221,2.70805020110221
rendy1.txt,pascasarjana,1,2.70805020110221,2.70805020110221
rendy1.txt,marvin,2,2.70805020110221,5.41610040220442
rendy1.txt,minsky,2,2.70805020110221,5.41610040220442
rendy1.txt,dean,1,2.70805020110221,2.70805020110221
rendy1.txt,edmonds,1,2.70805020110221,2.70805020110221
rendy1.txt,bangun,2,1.0986122886681098,2.1972245773362196
rendy1.txt,snarc,1,2.70805020110221,2.70805020110221
rendy1.txt,frank,1,2.70805020110221,2.70805020110221
rendy1.txt,rosenblatt,1,2.70805020110221,2.70805020110221
rendy1.txt,kembang,5,0.5108256237659907,2.5541281188299534
rendy1.txt,perceptron,1,2.70805020110221,2.70805020110221
rendy1.txt,salah,3,0.6286086594223741,1.8858259782671223
rendy1.txt,joseph,1,2.70805020110221,2.70805020110221
rendy1.txt,weizenbaum,1,2.70805020110221,2.70805020110221
rendy1.txt,eliza,1,2.70805020110221,2.70805020110221
rendy1.txt,psikoterapis,1,2.70805020110221,2.70805020110221
rendy1.txt,rogerian,1,2.70805020110221,2.70805020110221
rendy1.txt,batas,3,1.6094379124341003,4.828313737302301
rendy1.txt,akibat,1,1.3217558399823195,1.3217558399823195
rendy1.txt,turun,1,1.6094379124341003,1.6094379124341003
rendy1.txt,teliti,6,2.0149030205422647,12.089418123253587
rendy1.txt,musim,2,2.0149030205422647,4.029806041084529
rendy1.txt,dingin,2,2.0149030205422647,4.029806041084529
rendy1.txt,kurang,1,1.6094379124341003,1.6094379124341003
rendy1.txt,dana,2,2.70805020110221,5.41610040220442
rendy1.txt,keras,1,2.70805020110221,2.70805020110221
rendy1.txt,komputasi,3,2.0149030205422647,6.0447090616267936
rendy1.txt,an,2,2.70805020110221,5.41610040220442
rendy1.txt,minat,2,1.6094379124341003,3.2188758248682006
rendy1.txt,perintah,1,0.6286086594223741,0.6286086594223741
rendy1.txt,terjemah,1,2.0149030205422647,2.0149030205422647
rendy1.txt,transkripsi,1,2.70805020110221,2.70805020110221
rendy1.txt,ahli,1,1.6094379124341003,1.6094379124341003
rendy1.txt,mycin,1,2.70805020110221,2.70805020110221
rendy1.txt,populer,2,1.3217558399823195,2.643511679964639
rendy1.txt,putus,2,1.3217558399823195,2.643511679964639
rendy1.txt,domain,2,2.70805020110221,5.41610040220442
rendy1.txt,dokter,1,1.6094379124341003,1.6094379124341003
rendy1.txt,bangkit,2,2.70805020110221,5.41610040220442
rendy1.txt,david,1,2.70805020110221,2.70805020110221
rendy1.txt,rumelhart,1,2.70805020110221,2.70805020110221
rendy1.txt,john,1,2.70805020110221,2.70805020110221
rendy1.txt,hopfield,1,2.70805020110221,2.70805020110221
rendy1.txt,teknik,1,2.0149030205422647,2.0149030205422647
rendy1.txt,deep,4,2.0149030205422647,8.059612082169059
rendy1.txt,learning,4,1.3217558399823195,5.287023359929278
rendy1.txt,komputer,1,1.6094379124341003,1.6094379124341003
rendy1.txt,ajar,4,1.0986122886681098,4.394449154672439
rendy1.txt,alam,1,0.7621400520468967,0.7621400520468967
rendy1.txt,faktor,1,1.6094379124341003,1.6094379124341003
rendy1.txt,sosial,1,1.3217558399823195,1.3217558399823195
rendy1.txt,ekonomi,1,1.6094379124341003,1.6094379124341003
rendy1.txt,ledak,1,2.70805020110221,2.70805020110221
rendy1.txt,dot,1,2.70805020110221,2.70805020110221
rendy1.txt,com,1,1.3217558399823195,1.3217558399823195
rendy1.txt,fragmentasi,1,2.0149030205422647,2.0149030205422647
rendy1.txt,tim,1,2.70805020110221,2.70805020110221
rendy1.txt,khusus,1,1.0986122886681098,1.0986122886681098
rendy1.txt,capai,1,0.9162907318741551,0.9162907318741551
rendy1.txt,signifikan,1,1.3217558399823195,1.3217558399823195
rendy1.txt,catur,3,2.70805020110221,8.12415060330663
rendy1.txt,blue,1,2.70805020110221,2.70805020110221
rendy1.txt,ibm,1,2.70805020110221,2.70805020110221
rendy1.txt,kalah,1,1.6094379124341003,1.6094379124341003
rendy1.txt,juara,1,2.70805020110221,2.70805020110221
rendy1.txt,dunia,1,0.6286086594223741,0.6286086594223741
